,agent_activation_regime,fraction_uninformed,influence_error_distribution,influence_model,network_structure_model,population_size
273,synchronous,0.66,none,attractive_repulsive,"scale_free(N, 5)",1000
274,synchronous,0.66,none,random_adoption,erdos_renyi_random(N),1000
275,synchronous,0.66,none,random_adoption,"small_world(N, 0.0, 3)",1000
276,synchronous,0.66,none,random_adoption,"small_world(N, 0.0, 10)",1000
277,synchronous,0.66,none,random_adoption,"small_world(N, 0.66, 3)",1000
278,synchronous,0.66,none,random_adoption,"small_world(N, 0.66, 10)",1000
279,synchronous,0.66,none,random_adoption,"scale_free(N, 1)",1000
280,synchronous,0.66,none,random_adoption,"scale_free(N, 5)",1000
281,synchronous,0.66,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
282,synchronous,0.66,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
283,synchronous,0.66,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
284,synchronous,0.66,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
285,synchronous,0.66,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
286,synchronous,0.66,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
287,synchronous,0.66,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
288,synchronous,0.66,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
289,synchronous,0.66,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
290,synchronous,0.66,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
291,synchronous,0.66,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
292,synchronous,0.66,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
293,synchronous,0.66,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
294,synchronous,0.66,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
295,synchronous,0.66,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
296,synchronous,0.66,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
297,synchronous,0.66,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
298,synchronous,0.66,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
299,synchronous,0.66,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
300,synchronous,0.66,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
301,synchronous,0.66,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
302,synchronous,0.66,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
303,synchronous,0.66,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
304,synchronous,0.66,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
305,synchronous,0.66,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
306,synchronous,0.66,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
307,synchronous,0.66,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
308,synchronous,0.66,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
309,synchronous,0.66,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
310,synchronous,0.66,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
311,synchronous,0.66,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
312,synchronous,0.66,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
313,synchronous,0.66,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
314,synchronous,0.66,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
315,synchronous,0.66,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
316,synchronous,0.66,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
317,synchronous,0.66,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
318,synchronous,0.66,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
319,synchronous,0.66,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
320,synchronous,0.66,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
321,synchronous,0.66,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
322,synchronous,0.66,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
323,synchronous,0.66,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
324,synchronous,0.66,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
325,synchronous,0.66,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
326,synchronous,0.66,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
327,synchronous,0.66,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
328,synchronous,0.66,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
329,synchronous,0.66,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
330,synchronous,0.66,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
331,synchronous,0.66,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
332,synchronous,0.66,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
333,synchronous,0.66,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
334,synchronous,0.66,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
335,synchronous,0.66,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
336,synchronous,0.66,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
337,synchronous,0.75,none,standard_model,erdos_renyi_random(N),1000
338,synchronous,0.75,none,standard_model,"small_world(N, 0.0, 3)",1000
339,synchronous,0.75,none,standard_model,"small_world(N, 0.0, 10)",1000
340,synchronous,0.75,none,standard_model,"small_world(N, 0.66, 3)",1000
341,synchronous,0.75,none,standard_model,"small_world(N, 0.66, 10)",1000
342,synchronous,0.75,none,standard_model,"scale_free(N, 1)",1000
343,synchronous,0.75,none,standard_model,"scale_free(N, 5)",1000
344,synchronous,0.75,none,similarity_bias,erdos_renyi_random(N),1000
345,synchronous,0.75,none,similarity_bias,"small_world(N, 0.0, 3)",1000
346,synchronous,0.75,none,similarity_bias,"small_world(N, 0.0, 10)",1000
347,synchronous,0.75,none,similarity_bias,"small_world(N, 0.66, 3)",1000
348,synchronous,0.75,none,similarity_bias,"small_world(N, 0.66, 10)",1000
349,synchronous,0.75,none,similarity_bias,"scale_free(N, 1)",1000
350,synchronous,0.75,none,similarity_bias,"scale_free(N, 5)",1000
351,synchronous,0.75,none,attractive_repulsive,erdos_renyi_random(N),1000
352,synchronous,0.75,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
353,synchronous,0.75,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
354,synchronous,0.75,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
355,synchronous,0.75,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
356,synchronous,0.75,none,attractive_repulsive,"scale_free(N, 1)",1000
357,synchronous,0.75,none,attractive_repulsive,"scale_free(N, 5)",1000
358,synchronous,0.75,none,random_adoption,erdos_renyi_random(N),1000
359,synchronous,0.75,none,random_adoption,"small_world(N, 0.0, 3)",1000
360,synchronous,0.75,none,random_adoption,"small_world(N, 0.0, 10)",1000
361,synchronous,0.75,none,random_adoption,"small_world(N, 0.66, 3)",1000
362,synchronous,0.75,none,random_adoption,"small_world(N, 0.66, 10)",1000
363,synchronous,0.75,none,random_adoption,"scale_free(N, 1)",1000
364,synchronous,0.75,none,random_adoption,"scale_free(N, 5)",1000
365,synchronous,0.75,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
366,synchronous,0.75,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
367,synchronous,0.75,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
368,synchronous,0.75,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
369,synchronous,0.75,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
370,synchronous,0.75,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
371,synchronous,0.75,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
372,synchronous,0.75,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
373,synchronous,0.75,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
374,synchronous,0.75,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
375,synchronous,0.75,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
376,synchronous,0.75,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
377,synchronous,0.75,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
378,synchronous,0.75,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
379,synchronous,0.75,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
380,synchronous,0.75,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
381,synchronous,0.75,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
382,synchronous,0.75,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
383,synchronous,0.75,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
384,synchronous,0.75,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
385,synchronous,0.75,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
386,synchronous,0.75,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
387,synchronous,0.75,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
388,synchronous,0.75,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
389,synchronous,0.75,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
390,synchronous,0.75,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
391,synchronous,0.75,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
392,synchronous,0.75,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
393,synchronous,0.75,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
394,synchronous,0.75,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
395,synchronous,0.75,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
396,synchronous,0.75,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
397,synchronous,0.75,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
398,synchronous,0.75,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
399,synchronous,0.75,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
400,synchronous,0.75,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
401,synchronous,0.75,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
402,synchronous,0.75,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
403,synchronous,0.75,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
404,synchronous,0.75,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
405,synchronous,0.75,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
406,synchronous,0.75,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
407,synchronous,0.75,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
408,synchronous,0.75,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
409,synchronous,0.75,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
410,synchronous,0.75,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
411,synchronous,0.75,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
412,synchronous,0.75,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
413,synchronous,0.75,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
414,synchronous,0.75,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
415,synchronous,0.75,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
416,synchronous,0.75,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
417,synchronous,0.75,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
418,synchronous,0.75,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
419,synchronous,0.75,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
420,synchronous,0.75,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
421,random,0.25,none,standard_model,erdos_renyi_random(N),1000
422,random,0.25,none,standard_model,"small_world(N, 0.0, 3)",1000
423,random,0.25,none,standard_model,"small_world(N, 0.0, 10)",1000
424,random,0.25,none,standard_model,"small_world(N, 0.66, 3)",1000
425,random,0.25,none,standard_model,"small_world(N, 0.66, 10)",1000
426,random,0.25,none,standard_model,"scale_free(N, 1)",1000
427,random,0.25,none,standard_model,"scale_free(N, 5)",1000
428,random,0.25,none,similarity_bias,erdos_renyi_random(N),1000
429,random,0.25,none,similarity_bias,"small_world(N, 0.0, 3)",1000
430,random,0.25,none,similarity_bias,"small_world(N, 0.0, 10)",1000
431,random,0.25,none,similarity_bias,"small_world(N, 0.66, 3)",1000
432,random,0.25,none,similarity_bias,"small_world(N, 0.66, 10)",1000
433,random,0.25,none,similarity_bias,"scale_free(N, 1)",1000
434,random,0.25,none,similarity_bias,"scale_free(N, 5)",1000
435,random,0.25,none,attractive_repulsive,erdos_renyi_random(N),1000
436,random,0.25,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
437,random,0.25,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
438,random,0.25,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
439,random,0.25,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
440,random,0.25,none,attractive_repulsive,"scale_free(N, 1)",1000
441,random,0.25,none,attractive_repulsive,"scale_free(N, 5)",1000
442,random,0.25,none,random_adoption,erdos_renyi_random(N),1000
443,random,0.25,none,random_adoption,"small_world(N, 0.0, 3)",1000
444,random,0.25,none,random_adoption,"small_world(N, 0.0, 10)",1000
445,random,0.25,none,random_adoption,"small_world(N, 0.66, 3)",1000
446,random,0.25,none,random_adoption,"small_world(N, 0.66, 10)",1000
447,random,0.25,none,random_adoption,"scale_free(N, 1)",1000
448,random,0.25,none,random_adoption,"scale_free(N, 5)",1000
449,random,0.25,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
450,random,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
451,random,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
452,random,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
453,random,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
454,random,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
455,random,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
456,random,0.25,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
457,random,0.25,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
458,random,0.25,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
459,random,0.25,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
460,random,0.25,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
461,random,0.25,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
462,random,0.25,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
463,random,0.25,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
464,random,0.25,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
465,random,0.25,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
466,random,0.25,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
467,random,0.25,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
468,random,0.25,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
469,random,0.25,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
470,random,0.25,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
471,random,0.25,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
472,random,0.25,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
473,random,0.25,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
474,random,0.25,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
475,random,0.25,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
476,random,0.25,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
477,random,0.25,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
478,random,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
479,random,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
480,random,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
481,random,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
482,random,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
483,random,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
484,random,0.25,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
485,random,0.25,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
486,random,0.25,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
487,random,0.25,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
488,random,0.25,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
489,random,0.25,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
490,random,0.25,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
491,random,0.25,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
492,random,0.25,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
493,random,0.25,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
494,random,0.25,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
495,random,0.25,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
496,random,0.25,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
497,random,0.25,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
498,random,0.25,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
499,random,0.25,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
500,random,0.25,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
501,random,0.25,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
502,random,0.25,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
503,random,0.25,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
504,random,0.25,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
505,random,0.33,none,standard_model,erdos_renyi_random(N),1000
506,random,0.33,none,standard_model,"small_world(N, 0.0, 3)",1000
507,random,0.33,none,standard_model,"small_world(N, 0.0, 10)",1000
508,random,0.33,none,standard_model,"small_world(N, 0.66, 3)",1000
509,random,0.33,none,standard_model,"small_world(N, 0.66, 10)",1000
510,random,0.33,none,standard_model,"scale_free(N, 1)",1000
511,random,0.33,none,standard_model,"scale_free(N, 5)",1000
512,random,0.33,none,similarity_bias,erdos_renyi_random(N),1000
513,random,0.33,none,similarity_bias,"small_world(N, 0.0, 3)",1000
514,random,0.33,none,similarity_bias,"small_world(N, 0.0, 10)",1000
515,random,0.33,none,similarity_bias,"small_world(N, 0.66, 3)",1000
516,random,0.33,none,similarity_bias,"small_world(N, 0.66, 10)",1000
517,random,0.33,none,similarity_bias,"scale_free(N, 1)",1000
518,random,0.33,none,similarity_bias,"scale_free(N, 5)",1000
519,random,0.33,none,attractive_repulsive,erdos_renyi_random(N),1000
520,random,0.33,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
521,random,0.33,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
522,random,0.33,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
523,random,0.33,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
524,random,0.33,none,attractive_repulsive,"scale_free(N, 1)",1000
525,random,0.33,none,attractive_repulsive,"scale_free(N, 5)",1000
526,random,0.33,none,random_adoption,erdos_renyi_random(N),1000
527,random,0.33,none,random_adoption,"small_world(N, 0.0, 3)",1000
528,random,0.33,none,random_adoption,"small_world(N, 0.0, 10)",1000
529,random,0.33,none,random_adoption,"small_world(N, 0.66, 3)",1000
530,random,0.33,none,random_adoption,"small_world(N, 0.66, 10)",1000
531,random,0.33,none,random_adoption,"scale_free(N, 1)",1000
532,random,0.33,none,random_adoption,"scale_free(N, 5)",1000
533,random,0.33,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
534,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
535,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
536,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
537,random,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
538,random,0.33,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
539,random,0.33,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
540,random,0.33,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
541,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
542,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
543,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
544,random,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
545,random,0.33,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
546,random,0.33,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
547,random,0.33,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
548,random,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
549,random,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
550,random,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
